"driver","datetime","date","longitude","latitude","speed","heading","deviceStatus","session","motionActivity"
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,0
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,8
jaichand_globalassure,"2023-12-18 09:42:00",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,32
jaichand_globalassure,"2023-12-18 10:41:05",2023-12-18,77.4233052,28.6554233,0.0,0.0,2,1702872722,32
jaichand_globalassure,"2023-12-18 10:42:05",2023-12-18,77.423338,28.655276,1.5005462,171.3129,1,1702872722,8
jaichand_globalassure,"2023-12-18 10:42:05",2023-12-18,77.423338,28.655276,1.5005462,171.3129,1,1702872722,8
jaichand_globalassure,"2023-12-18 10:42:05",2023-12-18,77.423338,28.655276,1.5005462,171.3129,1,1702872722,8
jaichand_globalassure,"2023-12-18 10:42:05",2023-12-18,77.423338,28.655276,1.5005462,171.3129,1,1702872722,8
jaichand_globalassure,"2023-12-18 11:00:17",2023-12-18,77.423338,28.655276,1.5005462,171.3129,1,1702872722,8
jaichand_globalassure,"2023-12-18 11:01:17",2023-12-18,77.4233313,28.6553647,0.46214724,187.26773,2,1702872722,32
jaichand_globalassure,"2023-12-18 11:01:45",2023-12-18,77.4232205,28.655261,0.7021122,179.54936,2,1702872722,32
jaichand_globalassure,"2023-12-18 11:02:18",2023-12-18,77.4228466,28.6551676,0.08603192,0.0,2,1702872722,64
jaichand_globalassure,"2023-12-18 11:02:36",2023-12-18,77.4230414,28.6549735,1.1222608,179.99991,1,1702872722,64
jaichand_globalassure,"2023-12-18 11:03:46",2023-12-18,77.4231788,28.6551659,0.7738944,22.365002,2,1702872722,32
jaichand_globalassure,"2023-12-18 11:04:18",2023-12-18,77.4230553,28.6552817,0.46840805,334.87338,2,1702872722,32
jaichand_globalassure,"2023-12-18 11:04:18",2023-12-18,77.4230553,28.6552817,0.46840805,334.87338,2,1702872722,8
jaichand_globalassure,"2023-12-18 11:11:19",2023-12-18,77.4230553,28.6552817,0.46840805,334.87338,2,1702872722,8
jaichand_globalassure,"2023-12-18 11:12:19",2023-12-18,77.4232176,28.6550486,1.0444065,143.24982,1,1702872722,64
jaichand_globalassure,"2023-12-18 11:12:28",2023-12-18,77.423306,28.6551961,0.9181359,56.585,2,1702872722,64
jaichand_globalassure,"2023-12-18 11:12:49",2023-12-18,77.4233056,28.655356,0.8125315,0.32255545,2,1702872722,64
jaichand_globalassure,"2023-12-18 11:16:29",2023-12-18,77.4233056,28.655356,0.8125315,0.32255545,2,1702872722,64
jaichand_globalassure,"2023-12-18 11:17:29",2023-12-18,77.4229322,28.6551818,4.3649335,235.9816,1,1702872722,8
jaichand_globalassure,"2023-12-18 11:17:39",2023-12-18,77.4232964,28.6554122,3.1622038,53.75516,1,1702872722,8
jaichand_globalassure,"2023-12-18 11:17:39",2023-12-18,77.4232964,28.6554122,3.1622038,53.75516,1,1702872722,8
jaichand_globalassure,"2023-12-18 11:26:02",2023-12-18,77.4232964,28.6554122,3.1622038,53.75516,1,1702872722,8
jaichand_globalassure,"2023-12-18 11:27:02",2023-12-18,77.4233484,28.6552733,1.9952182,169.43227,1,1702872722,8
jaichand_globalassure,"2023-12-18 11:27:14",2023-12-18,77.4232601,28.6551583,1.4034913,196.50958,1,1702872722,128
jaichand_globalassure,"2023-12-18 11:27:22",2023-12-18,77.4231179,28.6552257,1.0283334,239.50346,1,1702872722,128
jaichand_globalassure,"2023-12-18 11:27:28",2023-12-18,77.4230226,28.6553394,0.5731728,273.27353,2,1702872722,128
jaichand_globalassure,"2023-12-18 11:27:45",2023-12-18,77.4228906,28.6554301,0.15156601,357.44724,2,1702872722,128
jaichand_globalassure,"2023-12-18 11:28:01",2023-12-18,77.42039,28.6540383,0.0,0.0,2,1702872722,128
jaichand_globalassure,"2023-12-18 11:28:14",2023-12-18,77.4226401,28.6554336,0.0,50.59816,2,1702872722,8
jaichand_globalassure,"2023-12-18 11:28:25",2023-12-18,77.4226912,28.6552927,0.7711633,71.40146,2,1702872722,8
jaichand_globalassure,"2023-12-18 11:29:02",2023-12-18,77.4224176,28.6556932,0.52945274,359.9999,2,1702872722,8
jaichand_globalassure,"2023-12-18 11:29:13",2023-12-18,77.4220702,28.6557122,2.1174028,264.76755,1,1702872722,8
