airline,src,dest,src_lat,src_lon,dest_lat,dest_lon,id
2B,AER,KZN,43.449902,39.9566,55.60620117,49.27870178,1
2B,ASF,KZN,46.28329849,48.00630188,55.60620117,49.27870178,2
2B,ASF,MRV,46.28329849,48.00630188,44.22510147,43.08190155,3
2B,CEK,KZN,55.305801,61.5033,55.60620117,49.27870178,4
2B,CEK,OVB,55.305801,61.5033,55.01259995,82.65070343,5
2B,DME,KZN,55.40879822,37.90629959,55.60620117,49.27870178,6
2B,DME,NBC,55.40879822,37.90629959,55.56470108,52.09249878,7
2B,DME,TGK,55.40879822,37.90629959,47.1983333,38.8491667,8
2B,DME,UUA,55.40879822,37.90629959,54.63999939,52.80170059,9
2B,EGO,KGD,50.64379883,36.59009933,54.88999939,20.59259987,10
2B,EGO,KZN,50.64379883,36.59009933,55.60620117,49.27870178,11
2B,GYD,NBC,40.46749878,50.04669952,55.56470108,52.09249878,12
2B,KGD,EGO,54.88999939,20.59259987,50.64379883,36.59009933,13
2B,KZN,AER,55.60620117,49.27870178,43.449902,39.9566,14
2B,KZN,ASF,55.60620117,49.27870178,46.28329849,48.00630188,15
2B,KZN,CEK,55.60620117,49.27870178,55.305801,61.5033,16
2B,KZN,DME,55.60620117,49.27870178,55.40879822,37.90629959,17
2B,KZN,EGO,55.60620117,49.27870178,50.64379883,36.59009933,18
2B,KZN,LED,55.60620117,49.27870178,59.8003006,30.26250076,19
2B,KZN,SVX,55.60620117,49.27870178,56.74309921,60.80270004,20
2B,LED,KZN,59.8003006,30.26250076,55.60620117,49.27870178,21
2B,LED,NBC,59.8003006,30.26250076,55.56470108,52.09249878,22
2B,LED,UUA,59.8003006,30.26250076,54.63999939,52.80170059,23
2B,MRV,ASF,44.22510147,43.08190155,46.28329849,48.00630188,24
2B,NBC,DME,55.56470108,52.09249878,55.40879822,37.90629959,25
2B,NBC,GYD,55.56470108,52.09249878,40.46749878,50.04669952,26
2B,NBC,LED,55.56470108,52.09249878,59.8003006,30.26250076,27
2B,NBC,SVX,55.56470108,52.09249878,56.74309921,60.80270004,28
2B,NJC,SVX,60.94929886,76.4835968,56.74309921,60.80270004,29
2B,NJC,UUA,60.94929886,76.4835968,54.63999939,52.80170059,30
2B,NUX,SVX,66.06939697,76.52030182,56.74309921,60.80270004,31
2B,OVB,CEK,55.01259995,82.65070343,55.305801,61.5033,32
