track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
"0","0","0",-209,2019/12/24 22:32:35+00,,,,,,,,,,,,,,,,,,,,,
"0","0","1",-209.2,2019/12/24 22:32:36+00,,,,,,,,,,,,,,,,,,,,,
"0","0","2",-208.4,2019/12/24 22:32:37+00,,,,,,,,,,,,,,,,,,,,,
"0","0","3",-209.2,2019/12/24 22:32:38+00,,,,,,,,,,,,,,,,,,,,,
"0","0","4",-209.2,2019/12/24 22:32:39+00,,,,,,,,,,,,,,,,,,,,,
"0","0","5",-209.6,2019/12/24 22:32:40+00,,,,,,,,,,,,,,,,,,,,,
"0","0","6",-209.6,2019/12/24 22:32:42+00,,,,,,,,,,,,,,,,,,,,,
"0","0","7",-209.4,2019/12/24 22:32:43+00,,,,,,,,,,,,,,,,,,,,,
"0","0","8",-209.6,2019/12/24 22:32:45+00,,,,,,,,,,,,,,,,,,,,,
"0","0","9",-209.6,2019/12/24 22:32:46+00,,,,,,,,,,,,,,,,,,,,,
"0","0","10",-209.2,2019/12/24 22:32:48+00,,,,,,,,,,,,,,,,,,,,,
"0","0","11",-209,2019/12/24 22:32:50+00,,,,,,,,,,,,,,,,,,,,,
"0","0","12",-208.6,2019/12/24 22:32:52+00,,,,,,,,,,,,,,,,,,,,,
"0","0","13",-210.6,2019/12/24 22:32:55+00,,,,,,,,,,,,,,,,,,,,,
"0","0","14",-211,2019/12/24 22:32:56+00,,,,,,,,,,,,,,,,,,,,,
"0","0","15",-210.4,2019/12/24 22:32:59+00,,,,,,,,,,,,,,,,,,,,,
"0","0","16",-210.8,2019/12/24 22:33:00+00,,,,,,,,,,,,,,,,,,,,,
"0","0","17",-211,2019/12/24 22:33:02+00,,,,,,,,,,,,,,,,,,,,,
"0","0","18",-211,2019/12/24 22:33:06+00,,,,,,,,,,,,,,,,,,,,,
"0","0","19",-210.6,2019/12/24 22:33:09+00,,,,,,,,,,,,,,,,,,,,,
"0","0","20",-211,2019/12/24 22:33:11+00,,,,,,,,,,,,,,,,,,,,,
