track_fid,track_seg_id,track_seg_point_id,ele,time,datetime,latitude,longitude,driver,motionActivity
"0","0","0","-209",2019/12/24 22:32:35+00,2019-12-24T22:32:35.000Z,"10.720835","106.618049",thangqd,
"0","0","1","-209.2",2019/12/24 22:32:36+00,2019-12-24T22:32:36.000Z,"10.720835","106.618012",thangqd,
"0","0","2","-208.4",2019/12/24 22:32:37+00,2019-12-24T22:32:37.000Z,"10.720827","106.617983",thangqd,
"0","0","3","-209.2",2019/12/24 22:32:38+00,2019-12-24T22:32:38.000Z,"10.720817","106.617914",thangqd,
"0","0","4","-209.2",2019/12/24 22:32:39+00,2019-12-24T22:32:39.000Z,"10.720817","106.617914",thangqd,
"0","0","5","-209.6",2019/12/24 22:32:40+00,2019-12-24T22:32:40.000Z,"10.720807","106.617908",thangqd,
"0","0","6","-209.6",2019/12/24 22:32:42+00,2019-12-24T22:32:42.000Z,"10.720783","106.617931",thangqd,
"0","0","7","-209.4",2019/12/24 22:32:43+00,2019-12-24T22:32:43.000Z,"10.720763","106.617947",thangqd,
"0","0","8","-209.6",2019/12/24 22:32:45+00,2019-12-24T22:32:45.000Z,"10.720734","106.61792",thangqd,
"0","0","9","-209.6",2019/12/24 22:32:46+00,2019-12-24T22:32:46.000Z,"10.720739","106.617824",thangqd,
"0","0","10","-209.2",2019/12/24 22:32:48+00,2019-12-24T22:32:48.000Z,"10.720714","106.617705",thangqd,
"0","0","11","-209",2019/12/24 22:32:50+00,2019-12-24T22:32:50.000Z,"10.720673","106.617693",thangqd,
"0","0","12","-208.6",2019/12/24 22:32:52+00,2019-12-24T22:32:52.000Z,"10.72067","106.617697",thangqd,
"0","0","13","-210.6",2019/12/24 22:32:55+00,2019-12-24T22:32:55.000Z,"10.720721","106.6177",thangqd,
"0","0","14","-211",2019/12/24 22:32:56+00,2019-12-24T22:32:56.000Z,"10.720735","106.617706",thangqd,
"0","0","15","-210.4",2019/12/24 22:32:59+00,2019-12-24T22:32:59.000Z,"10.720764","106.61775",thangqd,
"0","0","16","-210.8",2019/12/24 22:33:00+00,2019-12-24T22:33:00.000Z,"10.720777","106.617761",thangqd,
"0","0","17","-211",2019/12/24 22:33:02+00,2019-12-24T22:33:02.000Z,"10.720801","106.617792",thangqd,
"0","0","18","-211",2019/12/24 22:33:06+00,2019-12-24T22:33:06.000Z,"10.720926","106.61761",thangqd,
"0","0","19","-210.6",2019/12/24 22:33:09+00,2019-12-24T22:33:09.000Z,"10.720939","106.617681",thangqd,
"0","0","20","-211",2019/12/24 22:33:11+00,2019-12-24T22:33:11.000Z,"10.720945","106.617731",thangqd,
"0","0","21","-211",2019/12/24 22:33:14+00,2019-12-24T22:33:14.000Z,"10.721035","106.617788",thangqd,
"0","0","22","-211.2",2019/12/24 22:33:15+00,2019-12-24T22:33:15.000Z,"10.721067","106.617792",thangqd,
"0","0","23","-211.2",2019/12/24 22:33:16+00,2019-12-24T22:33:16.000Z,"10.721096","106.61779",thangqd,
"0","0","24","-211.2",2019/12/24 22:33:19+00,2019-12-24T22:33:19.000Z,"10.721192","106.61777",thangqd,
"0","0","25","-211.2",2019/12/24 22:33:23+00,2019-12-24T22:33:23.000Z,"10.72132","106.617744",thangqd,
"0","0","26","-211.2",2019/12/24 22:33:27+00,2019-12-24T22:33:27.000Z,"10.721423","106.617721",thangqd,
"0","0","27","-211.2",2019/12/24 22:33:31+00,2019-12-24T22:33:31.000Z,"10.721542","106.617684",thangqd,
"0","0","28","-211.2",2019/12/24 22:33:32+00,2019-12-24T22:33:32.000Z,"10.721574","106.617678",thangqd,
"0","0","29","-211.2",2019/12/24 22:33:35+00,2019-12-24T22:33:35.000Z,"10.721662","106.617645",thangqd,
"0","0","30","-210.6",2019/12/24 22:33:40+00,2019-12-24T22:33:40.000Z,"10.721817","106.617608",thangqd,
"0","0","31","-210.6",2019/12/24 22:33:43+00,2019-12-24T22:33:43.000Z,"10.721876","106.617592",thangqd,
"0","0","32","-210.6",2019/12/24 22:33:44+00,2019-12-24T22:33:44.000Z,"10.721895","106.617583",thangqd,
"0","0","33","-211",2019/12/24 22:33:52+00,2019-12-24T22:33:52.000Z,"10.721895","106.617583",thangqd,
"0","0","34","-211.2",2019/12/24 22:33:56+00,2019-12-24T22:33:56.000Z,"10.716854","106.619911",thangqd,
"0","0","35","-210.2",2019/12/24 22:34:03+00,2019-12-24T22:34:03.000Z,"10.720748","106.619934",thangqd,
"0","0","36","-210.4",2019/12/24 22:34:04+00,2019-12-24T22:34:04.000Z,"10.720899","106.619569",thangqd,
"0","0","37","-210.6",2019/12/24 22:34:05+00,2019-12-24T22:34:05.000Z,"10.721049","106.619204",thangqd,
"0","0","38","-210.6",2019/12/24 22:34:07+00,2019-12-24T22:34:07.000Z,"10.721066","106.619141",thangqd,
"0","0","39","-210.8",2019/12/24 22:34:11+00,2019-12-24T22:34:11.000Z,"10.720901","106.619241",thangqd,
"0","0","40","-210.8",2019/12/24 22:34:13+00,2019-12-24T22:34:13.000Z,"10.720814","106.619277",thangqd,
"0","0","41","-211",2019/12/24 22:34:17+00,2019-12-24T22:34:17.000Z,"10.72074","106.619308",thangqd,
"0","0","42","-211",2019/12/24 22:34:21+00,2019-12-24T22:34:21.000Z,"10.720696","106.619168",thangqd,
"0","0","43","-210.6",2019/12/24 22:34:25+00,2019-12-24T22:34:25.000Z,"10.720616","106.619026",thangqd,
"0","0","44","-211",2019/12/24 22:34:31+00,2019-12-24T22:34:31.000Z,"10.720509","106.619047",thangqd,
"0","0","45","-211.4",2019/12/24 22:34:34+00,2019-12-24T22:34:34.000Z,"10.720457","106.619069",thangqd,
"0","0","46","-211.4",2019/12/24 22:34:40+00,2019-12-24T22:34:40.000Z,"10.722549","106.617288",thangqd,
"0","0","47","-211.6",2019/12/24 22:34:42+00,2019-12-24T22:34:42.000Z,"10.722457","106.617343",thangqd,
"0","0","48","-211.6",2019/12/24 22:34:45+00,2019-12-24T22:34:45.000Z,"10.722091","106.617456",thangqd,
"0","0","49","-210.4",2019/12/24 22:34:48+00,2019-12-24T22:34:48.000Z,"10.721934","106.617551",thangqd,
"0","0","50","-209.4",2019/12/24 22:34:50+00,2019-12-24T22:34:50.000Z,"10.721917","106.6176",thangqd,
"0","0","51","-209.2",2019/12/24 22:34:54+00,2019-12-24T22:34:54.000Z,"10.72183","106.617702",thangqd,
"0","0","52","-209.6",2019/12/24 22:35:00+00,2019-12-24T22:35:00.000Z,"10.721705","106.617845",thangqd,
"0","0","53","-209.6",2019/12/24 22:35:01+00,2019-12-24T22:35:01.000Z,"10.721698","106.617856",thangqd,
"0","0","54","-209.4",2019/12/24 22:35:04+00,2019-12-24T22:35:04.000Z,"10.721716","106.61786",thangqd,
"0","0","55","-209.2",2019/12/24 22:35:08+00,2019-12-24T22:35:08.000Z,"10.721343","106.617881",thangqd,
"0","0","56","-209.2",2019/12/24 22:35:12+00,2019-12-24T22:35:12.000Z,"10.721427","106.617835",thangqd,
"0","0","57","-209.4",2019/12/24 22:35:16+00,2019-12-24T22:35:16.000Z,"10.721533","106.617807",thangqd,
"0","0","58","-209.4",2019/12/24 22:35:18+00,2019-12-24T22:35:18.000Z,"10.721586","106.617791",thangqd,
"0","0","59","-209.6",2019/12/24 22:35:20+00,2019-12-24T22:35:20.000Z,"10.721629","106.617751",thangqd,
"0","0","60","-209.4",2019/12/24 22:35:23+00,2019-12-24T22:35:23.000Z,"10.721695","106.617708",thangqd,
"0","0","61","-209.2",2019/12/24 22:35:25+00,2019-12-24T22:35:25.000Z,"10.72175","106.617685",thangqd,
"0","0","62","-209",2019/12/24 22:35:29+00,2019-12-24T22:35:29.000Z,"10.721823","106.617627",thangqd,
"0","0","63","-208.8",2019/12/24 22:35:30+00,2019-12-24T22:35:30.000Z,"10.721829","106.617606",thangqd,
"0","0","64","-210.6",2019/12/24 22:35:35+00,2019-12-24T22:35:35.000Z,"10.721829","106.617606",thangqd,
"0","0","65","-209.4",2019/12/24 22:35:38+00,2019-12-24T22:35:38.000Z,"10.721444","106.617781",thangqd,
"0","0","66","-210.4",2019/12/24 22:35:40+00,2019-12-24T22:35:40.000Z,"10.721441","106.617667",thangqd,
"0","0","67","-210.6",2019/12/24 22:35:41+00,2019-12-24T22:35:41.000Z,"10.72145","106.617622",thangqd,
"0","0","68","-210.8",2019/12/24 22:35:43+00,2019-12-24T22:35:43.000Z,"10.72146","106.617533",thangqd,
"0","0","69","-210.4",2019/12/24 22:35:47+00,2019-12-24T22:35:47.000Z,"10.721689","106.617432",thangqd,
"0","0","70","-210.2",2019/12/24 22:35:48+00,2019-12-24T22:35:48.000Z,"10.721658","106.61739",thangqd,
"0","0","71","-209.8",2019/12/24 22:35:52+00,2019-12-24T22:35:52.000Z,"10.721579","106.617312",thangqd,
"0","0","72","-209.8",2019/12/24 22:35:56+00,2019-12-24T22:35:56.000Z,"10.721455","106.617355",thangqd,
"0","0","73","-210.2",2019/12/24 22:36:00+00,2019-12-24T22:36:00.000Z,"10.721329","106.617426",thangqd,
"0","0","74","-210.2",2019/12/24 22:36:04+00,2019-12-24T22:36:04.000Z,"10.721228","106.617511",thangqd,
"0","0","75","-210",2019/12/24 22:36:08+00,2019-12-24T22:36:08.000Z,"10.721119","106.617606",thangqd,
